height;lenght;area;eccen;p_black;p_and;mean_tr;blackpix;blackand;wb_trans;Class
5;12;60;2400;.267;.733;1.78;16;44;9;Text
10;234;2340;23400;.188;.614;1.38;441;1437;319;Text
10;271;2710;27100;.187;.602;1.35;508;1632;375;Text
11;189;2079;17182;.174;.613;1.41;361;1275;256;Text
8;65;520;8125;.269;.725;1.40;140;377;100;Text
10;147;1470;14700;.168;.550;1.29;247;809;191;Text
11;271;2981;24636;.168;.598;1.35;502;1784;371;Text
8;261;2088;32625;.218;.773;1.34;455;1615;340;Text
10;271;2710;27100;.193;.769;1.28;524;2084;409;Text
10;173;1730;17300;.090;.375;1.52;155;649;102;Text
10;197;1970;19700;.144;.589;1.25;284;1160;228;Text
9;258;2322;28667;.173;.581;1.28;401;1350;313;Text
8;96;768;12000;.111;.479;1.35;85;368;63;Text
10;271;2710;27100;.176;.574;1.39;476;1556;342;Text
10;271;2710;27100;.193;.693;1.37;522;1878;380;Text
7;48;336;6857;.292;.804;1.53;98;270;64;Text
11;243;2673;22091;.117;.342;1.41;314;914;223;Text
8;88;704;11000;.195;.756;1.49;137;532;92;Text
8;78;624;9750;.244;.745;1.35;152;465;113;Text
9;175;1575;19444;.190;.568;1.35;299;894;221;Text
7;17;119;2429;.328;.731;1.44;39;87;27;Text
7;14;98;2000;.357;.959;1.84;35;94;19;Text
8;46;368;5750;.285;.791;1.42;105;291;74;Text
9;34;306;3778;.225;.755;1.57;69;231;44;Text
7;7;49;1000;.347;.939;1.89;17;46;9;Text
7;11;77;1571;.351;.870;1.50;27;67;18;Text
7;14;98;2000;.357;.867;1.75;35;85;20;Text
7;21;147;3000;.313;.966;1.48;46;142;31;Text
7;8;56;1143;.250;.768;1.56;14;43;9;Text
7;29;203;4143;.281;.842;1.46;57;171;39;Text
10;271;2710;27100;.168;.612;1.29;454;1659;351;Text
8;71;568;8875;.136;.384;1.31;77;218;59;Text
8;25;200;3125;.240;.910;1.45;48;182;33;Text
9;238;2142;26444;.168;.614;1.26;359;1316;285;Text
6;187;1122;31167;.188;.591;1.26;211;663;168;Text
6;17;102;2833;.245;.598;1.56;25;61;16;Text
6;15;90;2500;.278;.744;1.92;25;67;13;Text
10;215;2150;21500;.133;.464;1.20;287;997;239;Text
11;103;1133;9364;.156;.576;1.44;177;653;123;Text
8;263;2104;32875;.154;.549;1.19;325;1156;274;Text
8;15;120;1875;.300;.642;1.57;36;77;23;Text
8;26;208;3250;.264;.620;1.45;55;129;38;Text
2;7;14;3500;.500;.929;3.50;7;13;2;Text
7;7;49;1000;.286;.633;1.56;14;31;9;Text
7;30;210;4286;.295;.876;1.77;62;184;35;Text
7;18;126;2571;.310;.960;1.39;39;121;28;Text
8;29;232;3625;.207;.651;1.60;48;151;30;Text
6;20;120;3333;.175;.792;1.50;21;95;14;Text
5;18;90;3600;.378;.956;1.62;34;86;21;Text
5;8;40;1600;.425;1.00;1.89;17;40;9;Text
5;7;35;1400;.400;.657;2.33;14;23;6;Text
5;12;60;2400;.383;.883;1.92;23;53;12;Text
8;126;1008;15750;.188;.685;1.27;189;690;149;Text
8;21;168;2625;.262;.696;1.52;44;117;29;Text
8;99;792;12375;.199;.662;1.39;158;524;114;Text
9;81;729;9000;.187;.542;1.49;136;395;91;Text
6;69;414;11500;.280;.744;1.40;116;308;83;Text
8;80;640;10000;.184;.544;1.40;118;348;84;Text
7;128;896;18286;.203;.663;1.33;182;594;137;Text
1;10;10;10000;.800;1.00;4.00;8;10;2;Text
804;11;8844;.014;.191;.233;15.64;1689;2058;108;vert_line
6;129;774;21500;.195;.565;1.35;151;437;112;Text
5;52;260;10400;.208;.542;1.35;54;141;40;Text
5;12;60;2400;.317;.750;1.46;19;45;13;Text
5;21;105;4200;.295;.733;1.48;31;77;21;Text
5;6;30;1200;.333;.967;2.50;10;29;4;Text
5;38;190;7600;.426;.989;1.42;81;188;57;Text
5;13;65;2600;.308;.831;1.82;20;54;11;Text
5;6;30;1200;.367;.767;3.67;11;23;3;Text
5;15;75;3000;.400;.947;1.67;30;71;18;Text
5;53;265;10600;.223;.611;1.28;59;162;46;Text
5;34;170;6800;.224;.606;1.31;38;103;29;Text
5;30;150;6000;.360;.947;1.26;54;142;43;Text
6;25;150;4167;.340;.887;1.42;51;133;36;Text
6;2;12;.333;.583;1.00;7.00;7;12;1;Text
8;12;96;1500;.208;.771;1.11;20;74;18;Text
7;14;98;2000;.255;.735;1.56;25;72;16;Text
7;14;98;2000;.337;.990;1.65;33;97;20;Text
7;8;56;1143;.357;1.00;2.86;20;56;7;Text
7;9;63;1286;.317;.984;2.22;20;62;9;Text
7;4;28;.571;.357;.571;5.00;10;16;2;Text
7;32;224;4571;.339;.786;1.46;76;176;52;Text
9;29;261;3222;.234;.709;1.30;61;185;47;Text
5;4;20;.800;.350;.850;1.75;7;17;4;Text
5;8;40;1600;.425;.975;1.55;17;39;11;Text
4;11;44;2750;.364;.955;1.33;16;42;12;Text
6;50;300;8333;.213;.577;1.31;64;173;49;Text
6;28;168;4667;.149;.375;1.47;25;63;17;Text
5;43;215;8600;.233;.800;1.35;50;172;37;Text
5;75;375;15000;.259;.867;1.18;97;325;82;Text
4;18;72;4500;.333;.667;1.71;24;48;14;Text
9;16;144;1778;.222;.479;1.33;32;69;24;Text
10;79;790;7900;.163;.420;1.25;129;332;103;Text
9;158;1422;17556;.217;.535;1.45;308;761;212;Text
1;114;114;114.00;.939;1.00;21.40;107;114;5;horiz_line
1;41;41;41000;.927;1.00;12.67;38;41;3;horiz_line
4;6;24;1500;.333;.792;2.00;8;19;4;Text
6;49;294;8167;.241;.633;1.42;71;186;50;Text
6;32;192;5333;.292;.698;1.37;56;134;41;Text
7;37;259;5286;.243;.710;1.34;63;184;47;Text
6;19;114;3167;.254;.956;1.16;29;109;25;Text
6;28;168;4667;.292;.875;1.29;49;147;38;Text
6;12;72;2000;.319;.653;2.09;23;47;11;Text
4;28;112;7000;.455;1.00;1.27;51;112;40;Text
1;33;33;33000;.667;1.00;3.67;22;33;6;horiz_line
14;29;406;2071;.140;.502;1.63;57;204;35;Text
1;106;106;106.00;.858;1.00;15.17;91;106;6;horiz_line
10;12;120;1200;.183;.392;2.20;22;47;10;Text
9;16;144;1778;.160;.500;1.92;23;72;12;Text
9;16;144;1778;.208;.542;2.14;30;78;14;Text
8;11;88;1375;.159;.477;1.75;14;42;8;Text
7;27;189;3857;.164;.397;2.58;31;75;12;Text
6;6;36;1000;.306;.556;3.67;11;20;3;Text
6;13;78;2167;.295;.897;1.64;23;70;14;Text
7;41;287;5857;.209;.652;1.36;60;187;44;Text
7;41;287;5857;.220;.756;1.47;63;217;43;Text
6;7;42;1167;.405;.833;1.89;17;35;9;Text
6;13;78;2167;.295;.872;1.44;23;68;16;Text
6;41;246;6833;.232;.927;1.30;57;228;44;Text
6;40;240;6667;.221;.983;1.26;53;236;42;Text
6;7;42;1167;.310;.786;1.86;13;33;7;Text
4;12;48;3000;.146;1.00;1.00;7;48;7;Text
7;41;287;5857;.213;.861;1.33;61;247;46;Text
6;40;240;6667;.313;.996;1.27;75;239;59;Text
1;12;12;12000;.583;1.00;1.75;7;12;4;Text
6;11;66;1833;.333;.803;1.69;22;53;13;Text
4;12;48;3000;.292;1.00;1.40;14;48;10;Text
6;41;246;6833;.224;.850;1.20;55;209;46;Text
7;40;280;5714;.229;.686;1.28;64;192;50;Text
9;23;207;2556;.213;.507;1.57;44;105;28;Text
9;23;207;2556;.246;.570;1.82;51;118;28;Text
8;17;136;2125;.265;.566;1.71;36;77;21;Text
7;37;259;5286;.301;.691;1.81;78;179;43;Text
7;54;378;7714;.267;.619;1.42;101;234;71;Text
5;32;160;6400;.431;.988;1.47;69;158;47;Text
5;13;65;2600;.415;.938;1.69;27;61;16;Text
6;17;102;2833;.255;.745;1.18;26;76;22;Text
6;13;78;2167;.308;.872;1.60;24;68;15;Text
6;14;84;2333;.274;.893;1.64;23;75;14;Text
6;14;84;2333;.274;.929;1.28;23;78;18;Text
6;17;102;2833;.382;.951;1.63;39;97;24;Text
5;13;65;2600;.262;.692;1.42;17;45;12;Text
5;13;65;2600;.246;.831;1.33;16;54;12;Text
4;14;56;3500;.268;.732;1.67;15;41;9;Text
6;24;144;4000;.257;.771;1.42;37;111;26;Text
6;13;78;2167;.282;.936;1.57;22;73;14;Text
7;41;287;5857;.185;.638;1.51;53;183;35;Text
7;41;287;5857;.226;.784;1.48;65;225;44;Text
1;27;27;27000;.407;1.00;1.83;11;27;6;horiz_line
1;41;41;41000;.780;1.00;4.57;32;41;7;horiz_line
10;12;120;1200;.225;.558;2.70;27;67;10;Text
9;21;189;2333;.175;.513;1.65;33;97;20;Text
9;15;135;1667;.178;.556;1.60;24;75;15;Text
9;17;153;1889;.183;.529;1.75;28;81;16;Text
10;19;190;1900;.142;.326;3.00;27;62;9;Text
10;12;120;1200;.142;.317;2.83;17;38;6;Text
8;16;128;2000;.242;.602;1.94;31;77;16;Text
7;16;112;2286;.250;.527;2.00;28;59;14;Text
1;22;22;22000;.500;1.00;1.83;11;22;6;horiz_line
3;9;27;3000;.296;1.00;1.33;8;27;6;Text
10;58;580;5800;.081;.224;1.62;47;130;29;Text
7;182;1274;26000;.203;.620;1.27;259;790;204;Text
9;73;657;8111;.174;.434;1.44;114;285;79;Text
9;107;963;11889;.204;.683;1.42;196;658;138;Text
9;18;162;2000;.278;.716;1.67;45;116;27;Text
7;125;875;17857;.270;.858;1.40;236;751;168;Text
10;53;530;5300;.215;.781;1.44;114;414;79;Text
8;43;344;5375;.212;.721;1.40;73;248;52;Text
7;8;56;1143;.375;.964;1.62;21;54;13;Text
8;30;240;3750;.233;.833;1.24;56;200;45;Text
6;59;354;9833;.268;.692;1.27;95;245;75;Text
6;7;42;1167;.262;.786;1.83;11;33;6;Text
5;17;85;3400;.400;.965;1.31;34;82;26;Text
5;3;15;.600;.600;1.00;4.50;9;15;2;Text
7;6;42;.857;.476;.881;1.82;20;37;11;Text
7;33;231;4714;.342;.740;1.49;79;171;53;Text
7;19;133;2714;.406;1.00;1.69;54;133;32;Text
7;17;119;2429;.395;.782;1.81;47;93;26;Text
7;16;112;2286;.304;.696;1.36;34;78;25;Text
9;19;171;2111;.269;.643;1.35;46;110;34;Text
7;18;126;2571;.270;.714;1.36;34;90;25;Text
6;6;36;1000;.361;.778;1.63;13;28;8;Text
5;11;55;2200;.345;.873;1.46;19;48;13;Text
5;16;80;3200;.425;1.00;1.36;34;80;25;Text
5;8;40;1600;.600;.975;2.18;24;39;11;Text
7;29;203;4143;.286;.670;1.71;58;136;34;Text
9;21;189;2333;.243;.757;1.31;46;143;35;Text
9;46;414;5111;.242;.737;1.47;100;305;68;Text
9;8;72;.889;.264;1.00;1.27;19;72;15;Text
9;55;495;6111;.251;.808;1.43;124;400;87;Text
8;23;184;2875;.277;.832;1.70;51;153;30;Text
7;49;343;7000;.318;.735;1.54;109;252;71;Text
5;17;85;3400;.412;.941;1.75;35;80;20;Text
5;3;15;.600;.600;.867;4.50;9;13;2;Text
8;26;208;3250;.250;.808;1.37;52;168;38;Text
8;27;216;3375;.208;.852;1.45;45;184;31;Text
7;14;98;2000;.327;1.00;1.60;32;98;20;Text
7;18;126;2571;.206;.651;2.17;26;82;12;Text
7;9;63;1286;.349;.905;2.20;22;57;10;Text
7;4;28;.571;.286;.964;8.00;8;27;1;Text
7;14;98;2000;.296;.898;1.61;29;88;18;Text
7;19;133;2714;.331;.767;1.42;44;102;31;Text
8;27;216;3375;.269;.764;1.29;58;165;45;Text
7;4;28;.571;.321;1.00;3.00;9;28;3;Text
7;38;266;5429;.301;.850;1.45;80;226;55;Text
7;33;231;4714;.299;.848;1.44;69;196;48;Text
7;9;63;1286;.365;.857;1.77;23;54;13;Text
7;6;42;.857;.452;1.00;1.90;19;42;10;Text
7;30;210;4286;.352;.790;1.54;74;166;48;Text
7;8;56;1143;.286;.732;1.78;16;41;9;Text
9;46;414;5111;.242;.575;1.43;100;238;70;Text
9;220;1980;24444;.230;.758;1.44;456;1501;316;Text
8;38;304;4750;.250;.730;1.38;76;222;55;Text
9;251;2259;27889;.187;.672;1.33;423;1517;317;Text
10;151;1510;15100;.193;.770;1.48;291;1162;197;Text
7;29;203;4143;.305;.837;1.48;62;170;42;Text
7;13;91;1857;.264;.648;1.41;24;59;17;Text
7;54;378;7714;.254;.608;1.39;96;230;69;Text
7;7;49;1000;.408;.857;2.22;20;42;9;Text
7;11;77;1571;.312;.844;1.50;24;65;16;Text
9;49;441;5444;.265;.744;1.60;117;328;73;Text
7;27;189;3857;.280;.947;1.33;53;179;40;Text
7;21;147;3000;.354;.939;1.63;52;138;32;Text
7;19;133;2714;.346;1.00;1.44;46;133;32;Text
8;41;328;5125;.232;.527;1.55;76;173;49;Text
8;63;504;7875;.256;.694;1.52;129;350;85;Text
8;47;376;5875;.221;.702;1.26;83;264;66;Text
9;56;504;6222;.210;.603;1.26;106;304;84;Text
9;22;198;2444;.192;.697;1.31;38;138;29;Text
9;5;45;.556;.244;.867;2.20;11;39;5;Text
6;22;132;3667;.326;1.00;1.30;43;132;33;Text
7;16;112;2286;.259;.705;1.38;29;79;21;Text
8;81;648;10125;.221;.591;1.29;143;383;111;Text
5;15;75;3000;.360;.933;1.35;27;70;20;Text
5;5;25;1000;.440;1.00;1.57;11;25;7;Text
9;135;1215;15000;.249;.626;1.56;302;761;193;Text
7;21;147;3000;.340;.850;1.35;50;125;37;Text
7;87;609;12429;.232;.589;1.27;141;359;111;Text
7;8;56;1143;.375;1.00;1.62;21;56;13;Text
7;35;245;5000;.310;1.00;1.55;76;245;49;Text
7;14;98;2000;.388;.847;1.65;38;83;23;Text
7;11;77;1571;.364;.922;1.75;28;71;16;Text
7;13;91;1857;.297;.835;1.69;27;76;16;Text
7;9;63;1286;.317;.810;1.54;20;51;13;Text
7;41;287;5857;.345;.777;1.55;99;223;64;Text
7;46;322;6571;.354;1.00;1.46;114;322;78;Text
7;20;140;2857;.350;.757;1.58;49;106;31;Text
5;14;70;2800;.414;.943;1.38;29;66;21;Text
10;262;2620;26200;.179;.606;1.36;469;1587;344;Text
10;49;490;4900;.196;.751;1.26;96;368;76;Text
7;21;147;3000;.327;.728;1.41;48;107;34;Text
9;49;441;5444;.231;.685;1.46;102;302;70;Text
7;23;161;3286;.248;.944;1.21;40;152;33;Text
7;5;35;.714;.257;.571;2.25;9;20;4;Text
9;37;333;4111;.213;.706;1.54;71;235;46;Text
6;17;102;2833;.275;.824;1.33;28;84;21;Text
6;11;66;1833;.303;.712;1.54;20;47;13;Text
6;6;36;1000;.417;.944;1.50;15;34;10;Text
9;214;1926;23778;.230;.748;1.44;443;1440;307;Text
7;43;301;6143;.246;.947;1.32;74;285;56;Text
9;56;504;6222;.196;.617;1.24;99;311;80;Text
7;11;77;1571;.312;.987;1.20;24;76;20;Text
7;33;231;4714;.342;.848;1.98;79;196;40;Text
8;23;184;2875;.310;.880;1.84;57;162;31;Text
7;23;161;3286;.329;1.00;1.39;53;161;38;Text
7;11;77;1571;.351;.922;1.59;27;71;17;Text
7;20;140;2857;.364;.871;1.46;51;122;35;Text
7;49;343;7000;.300;.720;1.34;103;247;77;Text
10;38;380;3800;.195;.550;1.48;74;209;50;Text
7;15;105;2143;.314;1.00;1.57;33;105;21;Text
7;66;462;9429;.294;.924;1.46;136;427;93;Text
9;54;486;6000;.270;.852;1.49;131;414;88;Text
9;49;441;5444;.272;.791;1.38;120;349;87;Text
8;11;88;1375;.250;.830;1.29;22;73;17;Text
7;36;252;5143;.365;.960;1.67;92;242;55;Text
7;29;203;4143;.360;.936;1.40;73;190;52;Text
7;11;77;1571;.351;.961;1.35;27;74;20;Text
7;26;182;3714;.352;1.00;1.36;64;182;47;Text
7;9;63;1286;.286;.968;1.20;18;61;15;Text
7;31;217;4429;.276;.788;1.25;60;171;48;Text
7;9;63;1286;.381;.952;1.85;24;60;13;Text
8;27;216;3375;.236;.685;1.31;51;148;39;Text
8;4;32;.500;.375;1.00;2.40;12;32;5;Text
8;5;40;.625;.375;.950;1.67;15;38;9;Text
5;5;25;1000;.520;1.00;2.17;13;25;6;Text
7;15;105;2143;.229;.981;1.41;24;103;17;Text
7;37;259;5286;.305;1.00;1.46;79;259;54;Text
7;9;63;1286;.302;.905;1.46;19;57;13;Text
7;11;77;1571;.364;1.00;1.33;28;77;21;Text
7;19;133;2714;.361;.917;1.50;48;122;32;Text
7;8;56;1143;.357;.893;2.22;20;50;9;Text
9;55;495;6111;.259;.699;1.47;128;346;87;Text
7;29;203;4143;.365;.946;2.00;74;192;37;Text
7;4;28;.571;.250;.857;2.33;7;24;3;Text
7;14;98;2000;.337;.980;1.83;33;96;18;Text
7;17;119;2429;.286;.916;1.31;34;109;26;Text
7;38;266;5429;.226;.639;1.40;60;170;43;Text
8;23;184;2875;.239;.554;1.76;44;102;25;Text
9;41;369;4556;.244;.661;1.32;90;244;68;Text
6;33;198;5500;.268;.848;1.39;53;168;38;Text
6;4;24;.667;.458;1.00;2.20;11;24;5;Text
6;19;114;3167;.360;.711;1.58;41;81;26;Text
6;49;294;8167;.286;.694;1.38;84;204;61;Text
7;13;91;1857;.297;.857;1.17;27;78;23;Text
7;13;91;1857;.374;.978;1.79;34;89;19;Text
7;30;210;4286;.305;.871;1.64;64;183;39;Text
7;14;98;2000;.378;1.00;1.95;37;98;19;Text
7;14;98;2000;.337;.786;1.38;33;77;24;Text
7;18;126;2571;.365;.968;2.00;46;122;23;Text
7;7;49;1000;.245;1.00;1.71;12;49;7;Text
7;26;182;3714;.269;.929;1.23;49;169;40;Text
6;17;102;2833;.324;1.00;1.32;33;102;25;Text
6;9;54;1500;.296;.796;1.23;16;43;13;Text
6;26;156;4333;.340;.974;1.33;53;152;40;Text
5;5;25;1000;.360;1.00;1.29;9;25;7;Text
9;48;432;5333;.273;.685;1.42;118;296;83;Text
7;31;217;4429;.313;.853;1.58;68;185;43;Text
7;42;294;6000;.333;.844;1.46;98;248;67;Text
7;46;322;6571;.304;.745;1.53;98;240;64;Text
5;11;55;2200;.455;1.00;1.67;25;55;15;Text
9;21;189;2333;.206;.778;1.22;39;147;32;Text
9;58;522;6444;.203;.531;1.34;106;277;79;Text
9;49;441;5444;.265;.653;1.36;117;288;86;Text
9;8;72;.889;.222;.736;1.78;16;53;9;Text
9;22;198;2444;.227;.934;1.61;45;185;28;Text
7;32;224;4571;.232;.804;1.30;52;180;40;Text
9;19;171;2111;.222;.673;1.31;38;115;29;Text
6;18;108;3000;.306;.787;1.32;33;85;25;Text
7;15;105;2143;.333;.838;1.46;35;88;24;Text
7;16;112;2286;.304;.955;1.13;34;107;30;Text
9;32;288;3556;.240;.913;1.50;69;263;46;Text
7;56;392;8000;.227;.602;1.25;89;236;71;Text
8;16;128;2000;.234;.922;1.58;30;118;19;Text
6;7;42;1167;.262;.786;1.38;11;33;8;Text
6;33;198;5500;.247;.813;1.20;49;161;41;Text
6;10;60;1667;.333;.750;1.54;20;45;13;Text
6;25;150;4167;.273;.787;1.17;41;118;35;Text
9;19;171;2111;.251;.977;1.34;43;167;32;Text
9;29;261;3222;.234;.889;1.39;61;232;44;Text
9;49;441;5444;.247;.721;1.51;109;318;72;Text
7;13;91;1857;.363;.934;2.20;33;85;15;Text
8;57;456;7125;.268;.798;1.45;122;364;84;Text
8;54;432;6750;.275;.778;1.37;119;336;87;Text
8;11;88;1375;.318;1.00;1.40;28;88;20;Text
7;24;168;3429;.274;.661;1.48;46;111;31;Text
7;38;266;5429;.259;.688;1.50;69;183;46;Text
9;23;207;2556;.222;.816;1.35;46;169;34;Text
9;49;441;5444;.222;.687;1.27;98;303;77;Text
7;43;301;6143;.249;.807;1.29;75;243;58;Text
7;8;56;1143;.357;.804;2.00;20;45;10;Text
7;19;133;2714;.398;.977;1.77;53;130;30;Text
5;7;35;1400;.429;.971;1.36;15;34;11;Text
5;6;30;1200;.300;1.00;1.80;9;30;5;Text
10;262;2620;26200;.190;.601;1.32;499;1575;377;Text
7;17;119;2429;.353;.790;1.56;42;94;27;Text
7;9;63;1286;.349;.746;1.83;22;47;12;Text
7;40;280;5714;.336;.971;1.57;94;272;60;Text
7;48;336;6857;.330;.821;1.44;111;276;77;Text
8;25;200;3125;.285;.880;1.36;57;176;42;Text
7;13;91;1857;.396;1.00;1.33;36;91;27;Text
7;16;112;2286;.339;1.00;1.41;38;112;27;Text
7;38;266;5429;.248;.955;1.32;66;254;50;Text
5;7;35;1400;.457;1.00;2.00;16;35;8;Text
10;9;90;.900;.222;1.00;1.25;20;90;16;Text
10;47;470;4700;.198;.781;1.29;93;367;72;Text
8;16;128;2000;.258;.945;1.18;33;121;28;Text
8;6;48;.750;.313;.813;1.88;15;39;8;Text
7;26;182;3714;.302;.912;1.53;55;166;36;Text
9;65;585;7222;.222;.786;1.35;130;460;96;Text
7;18;126;2571;.270;.825;1.31;34;104;26;Text
8;21;168;2625;.232;.643;1.30;39;108;30;Text
5;13;65;2600;.400;1.00;1.18;26;65;22;Text
8;93;744;11625;.185;.538;1.24;138;400;111;Text
7;21;147;3000;.293;.810;1.34;43;119;32;Text
7;27;189;3857;.079;.175;2.50;15;33;6;Text
7;44;308;6286;.218;.734;1.26;67;226;53;Text
7;19;133;2714;.248;.624;1.50;33;83;22;Text
7;24;168;3429;.232;.851;1.22;39;143;32;Text
7;39;273;5571;.253;.853;1.33;69;233;52;Text
7;11;77;1571;.325;.935;1.39;25;72;18;Text
7;15;105;2143;.229;.886;1.60;24;93;15;Text
7;13;91;1857;.363;1.00;1.94;33;91;17;Text
7;4;28;.571;.286;1.00;2.00;8;28;4;Text
7;18;126;2571;.365;.952;1.53;46;120;30;Text
7;13;91;1857;.330;.835;1.43;30;76;21;Text
7;40;280;5714;.336;.782;1.47;94;219;64;Text
9;47;423;5222;.279;.773;1.53;118;327;77;Text
7;7;49;1000;.347;.980;2.13;17;48;8;Text
7;11;77;1571;.403;.974;1.48;31;75;21;Text
9;30;270;3333;.270;.796;1.40;73;215;52;Text
7;20;140;2857;.257;.879;1.13;36;123;32;Text
7;11;77;1571;.364;.727;1.56;28;56;18;Text
7;23;161;3286;.329;.845;1.66;53;136;32;Text
7;9;63;1286;.333;.952;1.40;21;60;15;Text
7;13;91;1857;.308;.934;1.65;28;85;17;Text
7;19;133;2714;.286;.669;1.36;38;89;28;Text
5;28;140;5600;.307;.814;1.30;43;114;33;Text
5;32;160;6400;.350;.863;1.33;56;138;42;Text
5;24;120;4800;.375;.950;1.45;45;114;31;Text
5;19;95;3800;.442;.937;1.50;42;89;28;Text
9;54;486;6000;.191;.741;1.24;93;360;75;Text
9;39;351;4333;.239;.624;1.53;84;219;55;Text
7;57;399;8143;.273;.659;1.30;109;263;84;Text
7;10;70;1429;.329;1.00;1.77;23;70;13;Text
7;32;224;4571;.277;.830;1.41;62;186;44;Text
6;6;36;1000;.361;1.00;1.44;13;36;9;Text
6;21;126;3500;.349;1.00;1.33;44;126;33;Text
6;7;42;1167;.357;.762;2.14;15;32;7;Text
7;5;35;.714;.371;.829;1.86;13;29;7;Text
7;13;91;1857;.319;.846;1.61;29;77;18;Text
7;9;63;1286;.381;.857;2.00;24;54;12;Text
7;35;245;5000;.302;.939;1.48;74;230;50;Text
7;14;98;2000;.357;.969;1.52;35;95;23;Text
7;11;77;1571;.390;.792;1.58;30;61;19;Text
7;20;140;2857;.379;1.00;1.61;53;140;33;Text
7;31;217;4429;.318;.839;1.35;69;182;51;Text
7;23;161;3286;.286;.677;1.59;46;109;29;Text
7;39;273;5571;.293;.733;1.43;80;200;56;Text
7;7;49;1000;.245;.878;1.71;12;43;7;Text
8;39;312;4875;.224;.824;1.21;70;257;58;Text
7;54;378;7714;.235;.799;1.53;89;302;58;Text
7;32;224;4571;.268;.830;1.28;60;186;47;Text
7;51;357;7286;.322;.784;1.49;115;280;77;Text
7;48;336;6857;.268;.652;1.61;90;219;56;Text
7;13;91;1857;.286;.989;1.73;26;90;15;Text
7;8;56;1143;.268;.679;1.15;15;38;13;Text
7;17;119;2429;.227;.891;1.50;27;106;18;Text
7;10;70;1429;.286;.829;1.33;20;58;15;Text
7;11;77;1571;.286;.909;1.29;22;70;17;Text
10;13;130;1300;.231;.800;1.76;30;104;17;Text
6;11;66;1833;.364;.955;1.33;24;63;18;Text
7;19;133;2714;.346;.842;1.77;46;112;26;Text
7;14;98;2000;.214;.786;1.11;21;77;19;Text
8;20;160;2500;.206;.813;1.38;33;130;24;Text
6;26;156;4333;.288;.872;1.29;45;136;35;Text
8;30;240;3750;.225;.671;1.23;54;161;44;Text
8;10;80;1250;.238;.925;1.73;19;74;11;Text
7;13;91;1857;.341;.846;1.82;31;77;17;Text
7;39;273;5571;.330;.853;1.43;90;233;63;Text
5;18;90;3600;.467;.867;1.91;42;78;22;Text
6;16;96;2667;.198;.760;2.38;19;73;8;Text
7;27;189;3857;.370;.841;1.79;70;159;39;Text
7;8;56;1143;.357;.786;1.54;20;44;13;Text
7;17;119;2429;.261;.950;1.82;31;113;17;Text
7;11;77;1571;.364;.922;2.00;28;71;14;Text
7;11;77;1571;.299;.779;1.64;23;60;14;Text
7;23;161;3286;.342;.783;1.45;55;126;38;Text
7;7;49;1000;.327;1.00;1.33;16;49;12;Text
7;8;56;1143;.339;.875;2.38;19;49;8;Text
6;13;78;2167;.269;.667;1.50;21;52;14;Text
7;16;112;2286;.286;.705;1.88;32;79;17;Text
6;28;168;4667;.369;.780;1.77;62;131;35;Text
7;34;238;4857;.273;.584;1.55;65;139;42;Text
7;18;126;2571;.286;.627;1.57;36;79;23;Text
7;11;77;1571;.351;.727;1.50;27;56;18;Text
7;21;147;3000;.327;.912;1.71;48;134;28;Text
7;14;98;2000;.286;.755;1.56;28;74;18;Text
7;52;364;7429;.272;.788;1.22;99;287;81;Text
1;14;14;14000;.571;1.00;2.67;8;14;3;Text
5;18;90;3600;.400;.811;1.64;36;73;22;Text
5;36;180;7200;.406;.961;1.35;73;173;54;Text
7;11;77;1571;.377;.948;1.38;29;73;21;Text
9;29;261;3222;.287;.747;1.53;75;195;49;Text
9;37;333;4111;.228;.586;1.27;76;195;60;Text
7;16;112;2286;.295;.920;1.18;33;103;28;Text
8;26;208;3250;.236;.779;1.26;49;162;39;Text
7;11;77;1571;.299;.727;1.35;23;56;17;Text
5;13;65;2600;.477;.938;1.48;31;61;21;Text
5;7;35;1400;.543;1.00;2.11;19;35;9;Text
5;14;70;2800;.457;1.00;1.52;32;70;21;Text
7;30;210;4286;.300;.886;1.43;63;186;44;Text
7;9;63;1286;.238;.619;1.50;15;39;10;Text
7;16;112;2286;.286;.955;1.68;32;107;19;Text
7;11;77;1571;.247;.610;1.36;19;47;14;Text
7;27;189;3857;.286;1.00;1.32;54;189;41;Text
7;7;49;1000;.265;.796;1.44;13;39;9;Text
7;21;147;3000;.333;.789;1.40;49;116;35;Text
7;33;231;4714;.368;.896;1.57;85;207;54;Text
7;17;119;2429;.336;.908;1.48;40;108;27;Text
7;12;84;1714;.357;.810;1.67;30;68;18;Text
7;19;133;2714;.406;.940;1.74;54;125;31;Text
7;30;210;4286;.329;1.00;1.38;69;210;50;Text
7;8;56;1143;.268;.768;1.07;15;43;14;Text
7;11;77;1571;.312;.844;1.33;24;65;18;Text
9;24;216;2667;.218;.588;1.38;47;127;34;Text
7;24;168;3429;.244;.774;1.46;41;130;28;Text
7;20;140;2857;.257;.750;1.33;36;105;27;Text
9;30;270;3333;.248;.937;1.46;67;253;46;Text
5;19;95;3800;.389;.895;1.32;37;85;28;Text
5;11;55;2200;.364;1.00;1.33;20;55;15;Text
7;16;112;2286;.241;.634;1.93;27;71;14;Text
5;7;35;1400;.400;1.00;1.17;14;35;12;Text
7;22;154;3143;.247;.714;1.23;38;110;31;Text
